N,Best_Energy,Time_Seconds,Sequence
3,1,0.01010584831237793,011
4,2,0.003984212875366211,0100
5,2,0.005593776702880859,00010
6,7,0.05727744102478027,101111
7,3,0.08905696868896484,1011000
8,8,0.14731454849243164,10010111
9,12,0.17107176780700684,100111101
10,13,0.226029634475708,0110111000
