N,Best_Energy,Time_Seconds,Sequence
3,1,0.0036284923553466797,011
4,2,0.0051076412200927734,0100
5,2,0.014518976211547852,00010
6,7,0.055587053298950195,010001
7,3,0.09119963645935059,1110010
8,8,0.15013766288757324,10010111
9,12,0.2007749080657959,101111001
10,13,0.2727224826812744,0110111000
