N,Best_Energy,Time_Seconds,Sequence
3,1,0.004624366760253906,100
4,2,0.002919912338256836,1011
5,2,0.004008293151855469,11101
6,7,0.036664485931396484,010001
7,3,0.05404043197631836,0100111
8,8,0.08892297744750977,00001101
9,12,0.11150336265563965,001111101
10,13,0.14322566986083984,1001000111
