N,Best_Energy,Time_Seconds,Sequence
3,1,0.007584571838378906,011
4,2,0.004418373107910156,0100
5,2,0.006254434585571289,00010
6,7,0.0621953010559082,101111
7,3,0.10401678085327148,0001101
8,8,0.1739637851715088,11110010
9,12,0.18953967094421387,100111101
10,13,0.27683043479919434,0101111001
