N,Best_Energy,Time_Seconds,Sequence
3,1,0.004187107086181641,100
4,2,0.002575397491455078,1011
5,2,0.0037817955017089844,00010
6,7,0.03303098678588867,010001
7,3,0.05201601982116699,1011000
8,8,0.08673882484436035,10010111
9,12,0.10274600982666016,001111101
10,13,0.1333940029144287,0101100111
