N,Best_Energy,Time_Seconds,Sequence
3,1,0.009178638458251953,011
4,2,0.0033397674560546875,1011
5,2,0.003817319869995117,11101
6,7,0.03213357925415039,010001
7,3,0.05115175247192383,0001101
8,8,0.08511233329772949,11110010
9,12,0.11776447296142578,101111001
10,13,0.1416006088256836,1001111010
